Bot,maxIPOSpending,BuyRisk,SellRisk,PrefRanks,EventID,AvgEarnings
bot_1,0,0.25,0.1,[],evt_e369b5a56fadc620,346.642
bot_2,0,0.25,0.1,[1],evt_e369b5a56fadc620,345.554
bot_3,0,0.25,0.1,[3],evt_e369b5a56fadc620,345.65999999999997
bot_4,0,0.25,0.1,[0],evt_e369b5a56fadc620,343.764
bot_5,0,0.25,0.1,[2],evt_e369b5a56fadc620,345.65999999999997
bot_6,0,0.25,0.1,[4],evt_e369b5a56fadc620,345.65999999999997
bot_7,0,0.25,0.1,"[1, 3]",evt_e369b5a56fadc620,343.764
bot_8,0,0.25,0.1,"[0, 2]",evt_e369b5a56fadc620,346.498
bot_9,0,0.25,0.1,"[0, 3]",evt_e369b5a56fadc620,345.65999999999997
bot_10,0,0.25,0.1,"[1, 2]",evt_e369b5a56fadc620,344.658
bot_11,0,0.25,0.1,"[0, 4]",evt_e369b5a56fadc620,343.764
bot_12,0,0.25,0.1,"[1, 4]",evt_e369b5a56fadc620,346.53599999999994
bot_13,0,0.25,0.1,"[2, 3]",evt_e369b5a56fadc620,346.642
bot_14,0,0.25,0.1,"[0, 1]",evt_e369b5a56fadc620,344.658
bot_15,0,0.25,0.1,"[3, 4]",evt_e369b5a56fadc620,346.642
bot_16,0,0.25,0.1,"[2, 4]",evt_e369b5a56fadc620,343.764
bot_17,0,0.5,0.1,[],evt_e369b5a56fadc620,335.104
bot_18,0,0.5,0.1,[1],evt_e369b5a56fadc620,334.85600000000005
bot_19,0,0.5,0.1,[3],evt_e369b5a56fadc620,332.99799999999993
bot_20,0,0.5,0.1,[0],evt_e369b5a56fadc620,335.104
bot_21,0,0.5,0.1,[2],evt_e369b5a56fadc620,334.85600000000005
bot_22,0,0.5,0.1,[4],evt_e369b5a56fadc620,335.104
bot_23,0,0.5,0.1,"[1, 3]",evt_e369b5a56fadc620,333.48
bot_24,0,0.5,0.1,"[0, 2]",evt_e369b5a56fadc620,335.104
bot_25,0,0.5,0.1,"[0, 3]",evt_e369b5a56fadc620,335.88
bot_26,0,0.5,0.1,"[1, 2]",evt_e369b5a56fadc620,334.85600000000005
bot_27,0,0.5,0.1,"[0, 4]",evt_e369b5a56fadc620,333.998
bot_28,0,0.5,0.1,"[1, 4]",evt_e369b5a56fadc620,334.246
bot_29,0,0.5,0.1,"[2, 3]",evt_e369b5a56fadc620,336.384
bot_30,0,0.5,0.1,"[0, 1]",evt_e369b5a56fadc620,334.85600000000005
bot_31,0,0.5,0.1,"[3, 4]",evt_e369b5a56fadc620,335.104
bot_32,0,0.5,0.1,"[2, 4]",evt_e369b5a56fadc620,335.104
bot_33,0,0.75,0.1,[],evt_e369b5a56fadc620,323.276
bot_34,0,0.75,0.1,[1],evt_e369b5a56fadc620,323.438
bot_35,0,0.75,0.1,[3],evt_e369b5a56fadc620,325.818
bot_36,0,0.75,0.1,[0],evt_e369b5a56fadc620,325.812
bot_37,0,0.75,0.1,[2],evt_e369b5a56fadc620,325.02199999999993
bot_38,0,0.75,0.1,[4],evt_e369b5a56fadc620,322.846
bot_39,0,0.75,0.1,"[1, 3]",evt_e369b5a56fadc620,325.52799999999996
bot_40,0,0.75,0.1,"[0, 2]",evt_e369b5a56fadc620,327.86
bot_41,0,0.75,0.1,"[0, 3]",evt_e369b5a56fadc620,326.58799999999997
bot_42,0,0.75,0.1,"[1, 2]",evt_e369b5a56fadc620,321.826
bot_43,0,0.75,0.1,"[0, 4]",evt_e369b5a56fadc620,326.642
bot_44,0,0.75,0.1,"[1, 4]",evt_e369b5a56fadc620,324.31000000000006
bot_45,0,0.75,0.1,"[2, 3]",evt_e369b5a56fadc620,324.072
bot_46,0,0.75,0.1,"[0, 1]",evt_e369b5a56fadc620,325.904
bot_47,0,0.75,0.1,"[3, 4]",evt_e369b5a56fadc620,324.94599999999997
bot_48,0,0.75,0.1,"[2, 4]",evt_e369b5a56fadc620,325.79200000000003
bot_49,0,1.0,0.1,[],evt_e369b5a56fadc620,252.9
bot_50,0,1.0,0.1,[1],evt_e369b5a56fadc620,250.0
bot_51,0,1.0,0.1,[3],evt_e369b5a56fadc620,250.0
bot_52,0,1.0,0.1,[0],evt_e369b5a56fadc620,250.0
bot_53,0,1.0,0.1,[2],evt_e369b5a56fadc620,250.0
bot_54,0,1.0,0.1,[4],evt_e369b5a56fadc620,250.0
bot_55,0,1.0,0.1,"[1, 3]",evt_e369b5a56fadc620,252.9
bot_56,0,1.0,0.1,"[0, 2]",evt_e369b5a56fadc620,250.0
bot_57,0,1.0,0.1,"[0, 3]",evt_e369b5a56fadc620,250.0
bot_58,0,1.0,0.1,"[1, 2]",evt_e369b5a56fadc620,250.0
bot_59,0,1.0,0.1,"[0, 4]",evt_e369b5a56fadc620,250.0
bot_60,0,1.0,0.1,"[1, 4]",evt_e369b5a56fadc620,250.0
bot_61,0,1.0,0.1,"[2, 3]",evt_e369b5a56fadc620,250.0
bot_62,0,1.0,0.1,"[0, 1]",evt_e369b5a56fadc620,250.0
bot_63,0,1.0,0.1,"[3, 4]",evt_e369b5a56fadc620,250.0
bot_64,0,1.0,0.1,"[2, 4]",evt_e369b5a56fadc620,250.0
bot_65,0,2,0.1,[],evt_e369b5a56fadc620,250.0
bot_66,0,2,0.1,[1],evt_e369b5a56fadc620,250.0
bot_67,0,2,0.1,[3],evt_e369b5a56fadc620,250.0
bot_68,0,2,0.1,[0],evt_e369b5a56fadc620,250.0
bot_69,0,2,0.1,[2],evt_e369b5a56fadc620,250.0
bot_70,0,2,0.1,[4],evt_e369b5a56fadc620,250.0
bot_71,0,2,0.1,"[1, 3]",evt_e369b5a56fadc620,250.0
bot_72,0,2,0.1,"[0, 2]",evt_e369b5a56fadc620,250.0
bot_73,0,2,0.1,"[0, 3]",evt_e369b5a56fadc620,250.0
bot_74,0,2,0.1,"[1, 2]",evt_e369b5a56fadc620,250.0
bot_75,0,2,0.1,"[0, 4]",evt_e369b5a56fadc620,250.0
bot_76,0,2,0.1,"[1, 4]",evt_e369b5a56fadc620,250.0
bot_77,0,2,0.1,"[2, 3]",evt_e369b5a56fadc620,250.0
bot_78,0,2,0.1,"[0, 1]",evt_e369b5a56fadc620,250.0
bot_79,0,2,0.1,"[3, 4]",evt_e369b5a56fadc620,250.0
bot_80,0,2,0.1,"[2, 4]",evt_e369b5a56fadc620,250.0
bot_81,0,0.25,0.15,[],evt_e369b5a56fadc620,343.794
bot_82,0,0.25,0.15,[1],evt_e369b5a56fadc620,344.776
bot_83,0,0.25,0.15,[3],evt_e369b5a56fadc620,342.79200000000003
