Bot,maxIPOSpending,Risk,PrefRanks,EventID,AvgEarnings
bot_1,0,0.0,[],evt_1a341f55f12d099b714af8b82c3205c9,452.008
bot_2,0,0.0,[1],evt_1a341f55f12d099b714af8b82c3205c9,414.0780000000001
bot_3,0,0.0,[3],evt_1a341f55f12d099b714af8b82c3205c9,433.20200000000006
bot_4,0,0.0,[0],evt_1a341f55f12d099b714af8b82c3205c9,432.00200000000007
bot_5,0,0.0,[2],evt_1a341f55f12d099b714af8b82c3205c9,419.404
bot_6,0,0.0,[4],evt_1a341f55f12d099b714af8b82c3205c9,396.202
bot_7,0,0.0,"[1, 3]",evt_1a341f55f12d099b714af8b82c3205c9,421.00600000000003
bot_8,0,0.0,"[0, 2]",evt_1a341f55f12d099b714af8b82c3205c9,407.47
bot_9,0,0.0,"[0, 3]",evt_1a341f55f12d099b714af8b82c3205c9,410.004
bot_10,0,0.0,"[1, 2]",evt_1a341f55f12d099b714af8b82c3205c9,411.668
bot_11,0,0.0,"[0, 4]",evt_1a341f55f12d099b714af8b82c3205c9,422.20200000000006
bot_12,0,0.0,"[1, 4]",evt_1a341f55f12d099b714af8b82c3205c9,446.742
bot_13,0,0.0,"[2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,418.40200000000004
bot_14,0,0.0,"[0, 1]",evt_1a341f55f12d099b714af8b82c3205c9,422.204
bot_15,0,0.0,"[3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,409.4
bot_16,0,0.0,"[2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,405.804
bot_17,0,0.2,[],evt_1a341f55f12d099b714af8b82c3205c9,474.4
bot_18,0,0.2,[1],evt_1a341f55f12d099b714af8b82c3205c9,480.26800000000003
bot_19,0,0.2,[3],evt_1a341f55f12d099b714af8b82c3205c9,461.8
bot_20,0,0.2,[0],evt_1a341f55f12d099b714af8b82c3205c9,451.06800000000004
bot_21,0,0.2,[2],evt_1a341f55f12d099b714af8b82c3205c9,470.73600000000005
bot_22,0,0.2,[4],evt_1a341f55f12d099b714af8b82c3205c9,442.6
bot_23,0,0.2,"[1, 3]",evt_1a341f55f12d099b714af8b82c3205c9,442.4
bot_24,0,0.2,"[0, 2]",evt_1a341f55f12d099b714af8b82c3205c9,476.6
bot_25,0,0.2,"[0, 3]",evt_1a341f55f12d099b714af8b82c3205c9,441.6
bot_26,0,0.2,"[1, 2]",evt_1a341f55f12d099b714af8b82c3205c9,438.8
bot_27,0,0.2,"[0, 4]",evt_1a341f55f12d099b714af8b82c3205c9,494.40200000000004
bot_28,0,0.2,"[1, 4]",evt_1a341f55f12d099b714af8b82c3205c9,429.468
bot_29,0,0.2,"[2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,467.2
bot_30,0,0.2,"[0, 1]",evt_1a341f55f12d099b714af8b82c3205c9,430.6
bot_31,0,0.2,"[3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,473.4
bot_32,0,0.2,"[2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,450.8
bot_33,0,0.4,[],evt_1a341f55f12d099b714af8b82c3205c9,503.412
bot_34,0,0.4,[1],evt_1a341f55f12d099b714af8b82c3205c9,505.4799999999999
bot_35,0,0.4,[3],evt_1a341f55f12d099b714af8b82c3205c9,507.95
bot_36,0,0.4,[0],evt_1a341f55f12d099b714af8b82c3205c9,508.816
bot_37,0,0.4,[2],evt_1a341f55f12d099b714af8b82c3205c9,497.41
bot_38,0,0.4,[4],evt_1a341f55f12d099b714af8b82c3205c9,501.81000000000006
bot_39,0,0.4,"[1, 3]",evt_1a341f55f12d099b714af8b82c3205c9,508.81800000000004
bot_40,0,0.4,"[0, 2]",evt_1a341f55f12d099b714af8b82c3205c9,507.95
bot_41,0,0.4,"[0, 3]",evt_1a341f55f12d099b714af8b82c3205c9,502.87999999999994
bot_42,0,0.4,"[1, 2]",evt_1a341f55f12d099b714af8b82c3205c9,507.95
bot_43,0,0.4,"[0, 4]",evt_1a341f55f12d099b714af8b82c3205c9,503.412
bot_44,0,0.4,"[1, 4]",evt_1a341f55f12d099b714af8b82c3205c9,503.412
bot_45,0,0.4,"[2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,513.888
bot_46,0,0.4,"[0, 1]",evt_1a341f55f12d099b714af8b82c3205c9,506.54799999999994
bot_47,0,0.4,"[3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,495.608
bot_48,0,0.4,"[2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,511.418
bot_49,0,0.6000000000000001,[],evt_1a341f55f12d099b714af8b82c3205c9,482.67999999999995
bot_50,0,0.6000000000000001,[1],evt_1a341f55f12d099b714af8b82c3205c9,478.2799999999999
bot_51,0,0.6000000000000001,[3],evt_1a341f55f12d099b714af8b82c3205c9,473.87999999999994
bot_52,0,0.6000000000000001,[0],evt_1a341f55f12d099b714af8b82c3205c9,488.0079999999999
bot_53,0,0.6000000000000001,[2],evt_1a341f55f12d099b714af8b82c3205c9,475.0799999999999
bot_54,0,0.6000000000000001,[4],evt_1a341f55f12d099b714af8b82c3205c9,469.4799999999999
bot_55,0,0.6000000000000001,"[1, 3]",evt_1a341f55f12d099b714af8b82c3205c9,469.4799999999999
bot_56,0,0.6000000000000001,"[0, 2]",evt_1a341f55f12d099b714af8b82c3205c9,485.74399999999997
bot_57,0,0.6000000000000001,"[0, 3]",evt_1a341f55f12d099b714af8b82c3205c9,486.6719999999999
bot_58,0,0.6000000000000001,"[1, 2]",evt_1a341f55f12d099b714af8b82c3205c9,471.4799999999999
bot_59,0,0.6000000000000001,"[0, 4]",evt_1a341f55f12d099b714af8b82c3205c9,488.808
bot_60,0,0.6000000000000001,"[1, 4]",evt_1a341f55f12d099b714af8b82c3205c9,478.2799999999999
bot_61,0,0.6000000000000001,"[2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,469.4799999999999
bot_62,0,0.6000000000000001,"[0, 1]",evt_1a341f55f12d099b714af8b82c3205c9,481.0799999999999
bot_63,0,0.6000000000000001,"[3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,473.87999999999994
bot_64,0,0.6000000000000001,"[2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,473.0799999999999
bot_65,0,0.8,[],evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_66,0,0.8,[1],evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_67,0,0.8,[3],evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_68,0,0.8,[0],evt_1a341f55f12d099b714af8b82c3205c9,454.87999999999994
bot_69,0,0.8,[2],evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_70,0,0.8,[4],evt_1a341f55f12d099b714af8b82c3205c9,456.67999999999995
bot_71,0,0.8,"[1, 3]",evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_72,0,0.8,"[0, 2]",evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_73,0,0.8,"[0, 3]",evt_1a341f55f12d099b714af8b82c3205c9,454.0799999999999
bot_74,0,0.8,"[1, 2]",evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_75,0,0.8,"[0, 4]",evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_76,0,0.8,"[1, 4]",evt_1a341f55f12d099b714af8b82c3205c9,456.87999999999994
bot_77,0,0.8,"[2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,454.87999999999994
bot_78,0,0.8,"[0, 1]",evt_1a341f55f12d099b714af8b82c3205c9,453.2799999999999
bot_79,0,0.8,"[3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_80,0,0.8,"[2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,456.67999999999995
bot_81,0,1.0,[],evt_1a341f55f12d099b714af8b82c3205c9,441.87999999999994
bot_82,0,1.0,[1],evt_1a341f55f12d099b714af8b82c3205c9,441.2799999999999
bot_83,0,1.0,[3],evt_1a341f55f12d099b714af8b82c3205c9,439.2799999999999
bot_84,0,1.0,[0],evt_1a341f55f12d099b714af8b82c3205c9,437.2799999999999
bot_85,0,1.0,[2],evt_1a341f55f12d099b714af8b82c3205c9,434.87999999999994
bot_86,0,1.0,[4],evt_1a341f55f12d099b714af8b82c3205c9,446.87999999999994
bot_87,0,1.0,"[1, 3]",evt_1a341f55f12d099b714af8b82c3205c9,444.0799999999999
bot_88,0,1.0,"[0, 2]",evt_1a341f55f12d099b714af8b82c3205c9,445.87999999999994
bot_89,0,1.0,"[0, 3]",evt_1a341f55f12d099b714af8b82c3205c9,445.67999999999995
bot_90,0,1.0,"[1, 2]",evt_1a341f55f12d099b714af8b82c3205c9,444.87999999999994
bot_91,0,1.0,"[0, 4]",evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_92,0,1.0,"[1, 4]",evt_1a341f55f12d099b714af8b82c3205c9,454.0799999999999
bot_93,0,1.0,"[2, 3]",evt_1a341f55f12d099b714af8b82c3205c9,440.4799999999999
bot_94,0,1.0,"[0, 1]",evt_1a341f55f12d099b714af8b82c3205c9,446.87999999999994
bot_95,0,1.0,"[3, 4]",evt_1a341f55f12d099b714af8b82c3205c9,454.0799999999999
bot_96,0,1.0,"[2, 4]",evt_1a341f55f12d099b714af8b82c3205c9,455.67999999999995
bot_97,50,0.0,[],evt_1a341f55f12d099b714af8b82c3205c9,422.4700000000001
bot_98,50,0.0,[1],evt_1a341f55f12d099b714af8b82c3205c9,430.338
bot_99,50,0.0,[3],evt_1a341f55f12d099b714af8b82c3205c9,377.20599999999996
bot_100,50,0.0,[0],evt_1a341f55f12d099b714af8b82c3205c9,367.404
bot_101,50,0.0,[2],evt_1a341f55f12d099b714af8b82c3205c9,372.342
