Bot,maxIPOSpending,BuyRisk,SellRisk,PrefRanks,IPOcsv,LIVEcsv,EventID,AvgEarnings
bot_1,0,0.25,0.1,[],True,True,evt_1a341f55f12d099b714af8b82c3205c9,490.28600000000006
bot_2,0,0.25,0.1,[],True,False,evt_1a341f55f12d099b714af8b82c3205c9,473.672
bot_3,0,0.25,0.1,[],False,True,evt_1a341f55f12d099b714af8b82c3205c9,498.11400000000003
bot_4,0,0.25,0.1,[],False,False,evt_1a341f55f12d099b714af8b82c3205c9,460.83000000000004
bot_5,0,0.25,0.1,[0],True,True,evt_1a341f55f12d099b714af8b82c3205c9,491.6540000000001
bot_6,0,0.25,0.1,[0],True,False,evt_1a341f55f12d099b714af8b82c3205c9,453.74800000000005
bot_7,0,0.25,0.1,[0],False,True,evt_1a341f55f12d099b714af8b82c3205c9,491.082
bot_8,0,0.25,0.1,[0],False,False,evt_1a341f55f12d099b714af8b82c3205c9,453.746
bot_9,0,0.25,0.1,[1],True,True,evt_1a341f55f12d099b714af8b82c3205c9,494.52400000000006
bot_10,0,0.25,0.1,[1],True,False,evt_1a341f55f12d099b714af8b82c3205c9,475.846
bot_11,0,0.25,0.1,[1],False,True,evt_1a341f55f12d099b714af8b82c3205c9,496.9620000000001
bot_12,0,0.25,0.1,[1],False,False,evt_1a341f55f12d099b714af8b82c3205c9,474.988
bot_13,0,0.25,0.1,[2],True,True,evt_1a341f55f12d099b714af8b82c3205c9,488.68600000000004
bot_14,0,0.25,0.1,[2],True,False,evt_1a341f55f12d099b714af8b82c3205c9,462.86400000000003
bot_15,0,0.25,0.1,[2],False,True,evt_1a341f55f12d099b714af8b82c3205c9,493.438
bot_16,0,0.25,0.1,[2],False,False,evt_1a341f55f12d099b714af8b82c3205c9,473.976
bot_17,0,0.25,0.1,[3],True,True,evt_1a341f55f12d099b714af8b82c3205c9,490.68600000000004
bot_18,0,0.25,0.1,[3],True,False,evt_1a341f55f12d099b714af8b82c3205c9,468.27200000000005
bot_19,0,0.25,0.1,[3],False,True,evt_1a341f55f12d099b714af8b82c3205c9,497.096
bot_20,0,0.25,0.1,[3],False,False,evt_1a341f55f12d099b714af8b82c3205c9,469.026
bot_21,0,0.25,0.1,[4],True,True,evt_1a341f55f12d099b714af8b82c3205c9,492.77200000000005
bot_22,0,0.25,0.1,[4],True,False,evt_1a341f55f12d099b714af8b82c3205c9,469.84400000000005
bot_23,0,0.25,0.1,[4],False,True,evt_1a341f55f12d099b714af8b82c3205c9,492.13
bot_24,0,0.25,0.1,[4],False,False,evt_1a341f55f12d099b714af8b82c3205c9,480.834
bot_25,0,0.25,0.1,"[0, 1]",True,True,evt_1a341f55f12d099b714af8b82c3205c9,487.4620000000001
bot_26,0,0.25,0.1,"[0, 1]",True,False,evt_1a341f55f12d099b714af8b82c3205c9,438.73600000000005
bot_27,0,0.25,0.1,"[0, 1]",False,True,evt_1a341f55f12d099b714af8b82c3205c9,487.726
bot_28,0,0.25,0.1,"[0, 1]",False,False,evt_1a341f55f12d099b714af8b82c3205c9,442.0
bot_29,0,0.25,0.1,"[1, 2]",True,True,evt_1a341f55f12d099b714af8b82c3205c9,484.26200000000006
bot_30,0,0.25,0.1,"[1, 2]",True,False,evt_1a341f55f12d099b714af8b82c3205c9,465.29400000000004
bot_31,0,0.25,0.1,"[1, 2]",False,True,evt_1a341f55f12d099b714af8b82c3205c9,487.2380000000001
bot_32,0,0.25,0.1,"[1, 2]",False,False,evt_1a341f55f12d099b714af8b82c3205c9,472.38199999999995
bot_33,0,0.25,0.1,"[2, 3]",True,True,evt_1a341f55f12d099b714af8b82c3205c9,495.04800000000006
bot_34,0,0.25,0.1,"[2, 3]",True,False,evt_1a341f55f12d099b714af8b82c3205c9,478.21400000000006
bot_35,0,0.25,0.1,"[2, 3]",False,True,evt_1a341f55f12d099b714af8b82c3205c9,495.2220000000001
bot_36,0,0.25,0.1,"[2, 3]",False,False,evt_1a341f55f12d099b714af8b82c3205c9,468.962
bot_37,0,0.25,0.1,"[3, 4]",True,True,evt_1a341f55f12d099b714af8b82c3205c9,494.572
bot_38,0,0.25,0.1,"[3, 4]",True,False,evt_1a341f55f12d099b714af8b82c3205c9,468.62
bot_39,0,0.25,0.1,"[3, 4]",False,True,evt_1a341f55f12d099b714af8b82c3205c9,487.072
bot_40,0,0.25,0.1,"[3, 4]",False,False,evt_1a341f55f12d099b714af8b82c3205c9,452.51599999999996
bot_41,0,0.25,0.15,[],True,True,evt_1a341f55f12d099b714af8b82c3205c9,481.98999999999995
bot_42,0,0.25,0.15,[],True,False,evt_1a341f55f12d099b714af8b82c3205c9,449.12399999999997
bot_43,0,0.25,0.15,[],False,True,evt_1a341f55f12d099b714af8b82c3205c9,485.72400000000005
bot_44,0,0.25,0.15,[],False,False,evt_1a341f55f12d099b714af8b82c3205c9,454.6700000000001
bot_45,0,0.25,0.15,[0],True,True,evt_1a341f55f12d099b714af8b82c3205c9,486.53200000000004
bot_46,0,0.25,0.15,[0],True,False,evt_1a341f55f12d099b714af8b82c3205c9,444.90600000000006
bot_47,0,0.25,0.15,[0],False,True,evt_1a341f55f12d099b714af8b82c3205c9,479.95200000000006
bot_48,0,0.25,0.15,[0],False,False,evt_1a341f55f12d099b714af8b82c3205c9,442.65200000000004
bot_49,0,0.25,0.15,[1],True,True,evt_1a341f55f12d099b714af8b82c3205c9,484.61800000000005
bot_50,0,0.25,0.15,[1],True,False,evt_1a341f55f12d099b714af8b82c3205c9,464.588
bot_51,0,0.25,0.15,[1],False,True,evt_1a341f55f12d099b714af8b82c3205c9,485.908
bot_52,0,0.25,0.15,[1],False,False,evt_1a341f55f12d099b714af8b82c3205c9,453.1820000000001
bot_53,0,0.25,0.15,[2],True,True,evt_1a341f55f12d099b714af8b82c3205c9,478.46000000000004
bot_54,0,0.25,0.15,[2],True,False,evt_1a341f55f12d099b714af8b82c3205c9,473.142
bot_55,0,0.25,0.15,[2],False,True,evt_1a341f55f12d099b714af8b82c3205c9,487.77400000000006
bot_56,0,0.25,0.15,[2],False,False,evt_1a341f55f12d099b714af8b82c3205c9,454.834
bot_57,0,0.25,0.15,[3],True,True,evt_1a341f55f12d099b714af8b82c3205c9,488.36
bot_58,0,0.25,0.15,[3],True,False,evt_1a341f55f12d099b714af8b82c3205c9,452.134
bot_59,0,0.25,0.15,[3],False,True,evt_1a341f55f12d099b714af8b82c3205c9,483.5580000000001
bot_60,0,0.25,0.15,[3],False,False,evt_1a341f55f12d099b714af8b82c3205c9,462.726
